"","nbsp.w","FRic.w","FEve.w","FDiv.w"
"BERD",9,0.517972491278969,0.317756499527447,0.969732937093256
"BEUA",24,39.361460738645,0.389937330427715,0.913668678622964
"BEUB",65,11.7032343959036,0.353700112030152,0.876678226567325
"BEUC",21,6.16575516116927,0.358412217147117,0.964203977975522
"BSRD",14,1.44208160738452,0.422627790137065,0.990296637502831
"BSRE",11,0.67206440602542,0.445329962173918,0.970866465396607
"BSRF",26,5.54940266355559,0.362230259204524,0.935473084294338
"BSUA",31,12.1644340373479,0.469373111480352,0.931682238806736
"BSUB",35,10.7861128119198,0.375718034553865,0.970799455156663
"BSUC",58,81.9433662347492,0.296842234030491,0.923765529329909
"ZHRD",36,14.5184778875471,0.394145565016827,0.926087023760623
"ZHRE",26,5.08894840609061,0.402854524888042,0.952062685550806
"ZHRF",17,3.56560146734983,0.34880693093469,0.985859240569996
"ZHUA",35,3.74923378566576,0.220947608941458,0.889845936127995
"ZHUB",50,8.70544058782285,0.430071571530959,0.936759372222224
"ZHUC",50,18.0315808284524,0.397604660450377,0.901971134087173
