"","sp_richn","fdis","fmpd","fnnd","feve","fric","fdiv","fori","fspe","fide_PC1","fide_PC2","fide_PC3","fide_PC4"
"BERD",8,0.279994961972411,0.349210436297762,0.336726641192444,0.67847,0.000262705418451507,0.847370130291002,0.0518607523933378,0.273689108625405,-0.0641174511496831,0.0010858451767069,0.0139261226615341,0.00503351122397739
"BEUA",11,0.275065090072322,0.332723585489902,0.244838282757576,0.652747,0.00189992991926652,0.824691338895205,0.0448201716574938,0.270804786163865,-0.0559509450670673,0.0132294979319711,0.0214300705478039,0.0034409259015988
"BEUB",41,0.312611874145209,0.39019661050935,0.225500138223498,0.638998,0.134943581177994,0.766406698881585,0.138976935336603,0.292227656489094,-0.0224051113560004,0.0287531187479913,-0.00365859917040096,-0.00223667180473917
"BEUC",28,0.30653525026133,0.379532177597208,0.222219946928289,0.666509,0.0378872152121827,0.786486751553918,0.122134769977034,0.299900053941593,-0.0315107488660198,0.0406334699136833,0.0309195311662196,-0.000993602847112934
"BSRD",14,0.355351373872679,0.446880931620976,0.373906249377347,0.73971,0.0298912329257846,0.78135245274987,0.164214482182462,0.340471053115652,-0.0413798516182088,0.0416266309780259,0.0189261942047303,-0.0261824974236663
"BSRE",13,0.340647015473693,0.40970151695082,0.286244696958467,0.545041,0.00938324910839928,0.83286005075945,0.117635975866856,0.373839948199433,-0.0720992534505691,0.0284677627351159,0.0244616119027572,-0.0245228320531994
"BSRF",15,0.316289272043737,0.395346532372758,0.318522666961452,0.681185,0.019508402614673,0.767108243254093,0.109940605669097,0.330226942717629,-0.0697999991157326,0.00516383687577852,0.00917810438429421,-0.0146518885576286
"BSUA",39,0.349015439400148,0.455371775231104,0.305949424756005,0.642136,0.322523720710042,0.674122335836609,0.159079566037759,0.324472083915269,-0.00135129506516934,0.0160661997698927,0.00361894566620441,-0.0100971435309222
"BSUB",36,0.331092858841543,0.420171296702803,0.271956584313785,0.590417,0.227336358259734,0.747196930602869,0.13371352313537,0.303137787241927,-0.0227401600361637,-0.0110526531364819,0.0121368491695137,-0.00225814692044948
"BSUC",46,0.385915306170617,0.502627034223832,0.286266819612075,0.593311,0.778856748571471,0.694373371124978,0.170752855684858,0.354203463186791,0.00387872037910542,-0.00808036298851786,0.0014133020320702,-0.00659615232486404
"ZHRD",40,0.340254904062867,0.440955088139545,0.24843024364193,0.595738,0.201784621730864,0.710014052630172,0.125742331929535,0.307695666627843,0.00705414756515489,-0.0148411241426396,0.0167812842576345,-0.00392593509658879
"ZHRE",25,0.325934817542302,0.402063286160987,0.298819299259191,0.657803,0.0955399077137152,0.76911687697352,0.142944396934091,0.314022501726156,-0.0466348077324624,-8.89395596791679e-05,0.00655564446078329,-0.0179106222898654
"ZHRF",17,0.31409082381531,0.385563741884418,0.285248307834684,0.661076,0.0183449131483,0.794359865868092,0.123010869168763,0.312471991525651,-0.0595965158394913,0.0122484565595409,0.00297461051685651,-0.00723971393140675
"ZHUA",62,0.353055943605257,0.457344848928363,0.252443231422205,0.615863,0.900502071079578,0.717219176678407,0.163303269307124,0.323547165458238,-0.00598315610099949,-0.00185956773255765,0.00312749010308697,-0.00844498243857985
"ZHUB",48,0.360058501046772,0.449555813815518,0.189496077332306,0.572719,0.24803442955866,0.733570459617431,0.117785005860341,0.328601457868157,-0.0137484599784566,-0.022404691563197,0.0178657766060133,-0.00902243529687761
"ZHUC",48,0.345809216742932,0.440052641721473,0.196527030558148,0.670779,0.237626319942055,0.702533937546274,0.114194002259383,0.316775069289156,-0.00649096683325718,-0.0038871437453362,0.0151633489916769,-0.00345996995983465
